date scode name close high low open pre_close val_change val_ratio trade_change_ratio volume turnover market_value trade_value deal_sum
20201016 002028 思源电气 23.58 26.01 23.58 26 26.2 -2.62 -10 6.8978 52505748 1266922487 17949108568 17949108568 60265
20201015 002028 思源电气 26.2 26.38 25.65 25.88 26 0.2 0.7692 3.2233 24536019 639091514.5 19943453965 19943453965 37059
20201014 002028 思源电气 26 26.16 25.08 25.31 25.34 0.66 2.6046 2.9585 22520268 579383380.9 19791213858 19791213858 32156
20201013 002028 思源电气 25.34 25.68 25.2 25.4 25.46 -0.12 -0.4713 1.6334 12433318 315627476.4 19288821506 19288821506 22129
20201012 002028 思源电气 25.46 25.85 25.01 25.2 24.7 0.76 3.0769 3.4124 25974921 659837170.5 19380165570 19380165570 38346
20201009 002028 思源电气 24.7 25.12 24.49 24.5 23.8 0.9 3.7815 2.2102 16823887 416563401.1 18801653165 18801653165 34350
20200930 002028 思源电气 23.8 24.54 23.7 24.31 24.43 -0.63 -2.5788 1.9226 14634997 352616359.5 18116572685 18116572685 30704
20200929 002028 思源电气 24.43 25.07 24.15 24.68 23.75 0.68 2.8632 2.8803 21924551 539726673.9 18596129021 18596129021 34956
20200928 002028 思源电气 23.75 24.11 23.4 23.6 23.59 0.16 0.6783 1.1417 8690372 206465331 18078512659 18078512659 15817
20200925 002028 思源电气 23.59 23.97 23.33 23.8 23.7 -0.11 -0.4641 1.1939 9088144 214037305 17956720574 17956720574 16834
20200924 002028 思源电气 23.7 24.65 23.69 24.53 24.68 -0.98 -3.9708 1.3492 10270415 246642279.8 18040452632 18040452632 21891
20200923 002028 思源电气 24.68 24.89 24.29 24.87 24.76 -0.08 -0.3231 1.3181 10033194 246639512.5 18786429154 18786429154 19423
20200922 002028 思源电气 24.76 25.25 24.71 25.19 25.4 -0.64 -2.5197 1.4243 10841569 270312303.1 18847325197 18847325197 19913
20200921 002028 思源电气 25.4 25.82 25.22 25.61 25.68 -0.28 -1.0903 1.3908 10587093 269568161.3 19334493538 19334493538 21010
20200918 002028 思源电气 25.68 25.76 24.51 24.71 24.75 0.93 3.7576 2.7794 21156727 538047618.6 19547629687 19547629687 32465
20200917 002028 思源电气 24.75 24.94 24.24 24.55 24.63 0.12 0.4872 1.2812 9752568 239879598 18839713192 18839713192 18524
20200916 002028 思源电气 24.63 24.92 24.41 24.54 24.45 0.18 0.7362 1.2135 9237073 227912696.9 18748369128 18748369128 17242
20200915 002028 思源电气 24.45 24.68 24.11 24.58 24.58 -0.13 -0.5289 1.0171 7742381 188427181.1 18611353032 18611353032 15323
20200914 002028 思源电气 24.58 24.94 24.33 24.59 24.58 0 0 1.5039 11447496 281599177.4 18710309101 18710309101 23951
